City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
96,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
97,Glossa,GR,77.09,clear sky,35.4717,23.7763,Elia Hotel & Spa
103,San Patricio,US,84.92,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
104,Lagoa,PT,67.12,overcast clouds,39.05,-27.9833,Casa Das Faias
105,Alice Springs,AU,65.75,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
108,Tuktoyaktuk,CA,69.8,few clouds,69.4541,-133.0374,End of The Road Ltd.
109,Northam,GB,71.02,broken clouds,51.0333,-4.2167,Durrant House Hotel
110,Bossangoa,CF,69.69,broken clouds,6.4926,17.4552,LA PERLE DE BOSTON
111,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
112,Kawalu,ID,73.35,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
113,Hasaki,JP,82.8,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
114,Laibin,CN,77.58,overcast clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
115,Itaquyry,PY,64.62,clear sky,-24.9333,-55.2167,Posada Santa Celina
116,Viedma,AR,51.24,overcast clouds,-40.8135,-62.9967,Hotel Cristal
117,Puerto Escondido,MX,84.96,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
118,Mogadishu,SO,76.53,light rain,2.0371,45.3438,Hotel Juba
121,Jiexiu,CN,69.64,overcast clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
122,Comodoro Rivadavia,AR,51.66,clear sky,-45.8667,-67.5,Austral Hotel
123,Geraldton,AU,55.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
125,Pachino,IT,79.59,clear sky,36.7186,15.0907,Pietra Bianca B&B
126,Sao Filipe,CV,76.41,overcast clouds,14.8961,-24.4956,Hotel Xaguate
128,Nganjuk,ID,76.48,light rain,-7.6051,111.9035,Griya Alifia Family
129,Kavieng,PG,82.47,light rain,-2.5744,150.7967,Nusa Island Retreat
130,Torbay,CA,52.29,fog,47.6666,-52.7314,Gallows Cove
131,Kavaratti,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
132,Khairagarh,IN,84.15,overcast clouds,26.95,77.8167,Aqua kalandri R.O.
133,Nyurba,RU,65.75,light rain,63.2842,118.3319,Gostinitsa Alrosa
134,Lompoc,US,86.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
135,Kargat,RU,62.56,clear sky,55.1956,80.2811,Kargat
136,Cockburn Town,TC,81.37,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
137,Chimoio,MZ,60.4,clear sky,-19.1164,33.4833,Predio Livraria Ahmed
138,Kushmurun,KZ,70.21,broken clouds,52.4503,64.6311,Gostinitsa Pri Depo
